Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
Blue Dragon,RPG eletrônico,Mistwalker,Microsoft Game Studios,28 de agosto de 2007,24 de agosto de 2007,7 de dezembro de 2006,30 de agosto de 2007
"Bluecoats: North vs South, TheThe Bluecoats: North vs South",Estratégia & Simulação,Anuman,Bandai Namco Entertainment,13 de setembro de 2016,-,-,-
Blur,"Corrida, Combate veicular",Bizarre Creations,Activision,25 de maio de 2010,28 de maio de 2010,22 de julho de 2010,26 de maio de 2010
Body and Brain Connection,-,Namco Bandai Games,Namco Bandai Games,8 de fevereiro de 2011,11 de fevereiro de 2011,10 de fevereiro de 2011,20 de novembro de 2010
Bodycount,Tiro em primeira pessoa,Guildford Studio,Codemasters,30 de agosto de 2011,2 de setembro de 2011,Não lançado,1 de setembro de 2011
Bolt,Aventura,Avalanche Software,Disney Interactive Studios,18 de novembro de 2008,13 de fevereiro de 2009,Não lançado,4 de dezembro de 2008
Bomberman Live,Ação & Aventura,Backbone Entertainment,Hudson Soft,18 de julho de 2007,-,-,-
Bomberman Live: Battlefest,Ação & Aventura,Pi Studios,Hudson Soft,8 de dezembro de 2010,-,-,-
Bomberman: Act Zero,Ação,Hudson Soft,"Konami, Hudson SoftJP",29 de agosto de 2006,3 de novembro de 2006,3 de agosto de 2006,Não lançado
Boogie Bunnies,Puzzle & Trivia,Artech Digital Entertainment,Vivendi Games,16 de janeiro de 2008,-,-,-
Boom Boom Rocket,Ação & Aventura,Bizarre Creations,Electronic Arts,11 de abril de 2007,-,-,-
Borderlands[nota 5][nota 6],"RPG de ação, Tiro em primeira pessoa",Gearbox Software,2K Games,20 de outubro de 2009,23 de outubro de 2009,25 de fevereiro de 2010,23 de outubro de 2009
Borderlands 2,"RPG de ação, Tiro em primeira pessoa",Gearbox Software,2K Games,18 de setembro de 2012,21 de setembro de 2012,25 de outubro de 2012,20 de setembro de 2012
Borderlands 2 Add-On Pack Version 2.0,"RPG de ação, Tiro em primeira pessoa",Gearbox Software,2K Games,26 de fevereiro de 2013,1 de março de 2013,Não lançado,27 de fevereiro de 2013
Borderlands: The Pre-Sequel,"RPG de ação, Tiro em primeira pessoa",2K Australia,2K Games,14 de outubro de 2014,17 de outubro de 2014,30 de outubro de 2014,16 de outubro de 2014
Boulder Dash-XL,Puzzle & Trivia,Catnip Games,Kalypso Media,13 de julho de 2011,-,-,-
Bound by Flame,RPG de ação,Spiders,Focus Home Interactive,9 de maio de 2014,9 de maio de 2014,Não lançado,10 de maio de 2014
Braid,Ação & Aventura,"Number None, Inc.",Microsoft Studios,6 de agosto de 2008,-,-,-
Brain Challenge,Puzzle & Trivia,Gameloft,Microsoft Studios,12 de março de 2008,-,-,-
Brave,Ação & Aventura,Behaviour Interactive,Disney Interactive Studios,19 de junho de 2012,27 de julho de 2012,Não lançado,21 de junho de 2012
Brave: A Warrior's Tale,Ação & Aventura,Collision Studios,SouthPeak Games,4 de agosto de 2009,25 de setembro de 2009,Não lançado,Não lançado
Breach,Tiro,Atomic Games,Atomic Games,26 de janeiro de 2011,-,-,-
Brian Lara International Cricket 2007,Esportes,Codemasters,Codemasters,Não lançado,23 de março de 2007,Não lançado,29 de março de 2007
"Bridge, TheThe Bridge",Puzzle & Trivia,Ty Taylor and Mario Castañeda,Midnight City,13 de novembro de 2013,-,-,-
Brink,Tiro em primeira pessoa,Splash Damage,Bethesda Softworks,10 de maio de 2011,13 de maio de 2011,16 de junho de 2011,22 de novembro de 2013
Brothers in Arms: Hell's Highway,Tiro em primeira pessoa,Gearbox Software,Ubisoft,23 de setembro de 2008,26 de setembro de 2008,30 de outubro de 2008,25 de setembro de 2008
Brothers: A Tale of Two Sons,Ação & Aventura,Starbreeze Studios,505 Games,7 de agosto de 2013,-,-,-
Brunswick Pro Bowling,-,FarSight Studios,"Crave Entertainment, 505 Games",15 de fevereiro de 2011,8 de abril de 2011,16 de dezembro de 2010,TBA
Brütal Legend,"Ação & Aventura, RTS",Double Fine,Electronic Arts,13 de outubro de 2009,16 de outubro de 2009,Não lançado,15 de outubro de 2009
Bubble Bobble Neo!,Ação & Aventura,"Dreams, Inc.",Square Enix,16 de setembro de 2009,-,-,-
Buku Sudoku,Puzzle & Trivia,Absolutist,Microsoft Studios,28 de maio de 2008,-,-,-
Bullet Soul,Shoot 'em up,5pb.,5pb.,16 de setembro de 2016,Não lançado,7 de abril de 2011,Não lançado
Bullet Soul: Infinite Burst,Shoot 'em up,5pb.,5pb.,1 de novembro de 2016,Não lançado,29 de maio de 2014,Não lançado
Bullet Witch,Tiro em terceira pessoa,Cavia,"Atari, AQ InteractiveJP",27 de fevereiro de 2007,6 de março de 2007,27 de julho de 2006,16 de março de 2006
Bulletstorm,Tiro em primeira pessoa,People Can Fly,Electronic Arts,22 de fevereiro de 2011,25 de fevereiro de 2011,24 de fevereiro de 2011,24 de fevereiro de 2011
Bully: Scholarship Edition,Ação & Aventura,Rockstar New England,Rockstar Games,4 de março de 2008,7 de março de 2008,24 de julho de 2008,7 de março de 2008
BurgerTime World Tour,Plataforma,Frozen Codebase,Konami,2 de novembro de 2011,-,-,-
Burnout Crash!,Ação & Aventura,Criterion Games,Electronic Arts,21 de setembro de 2011,-,-,-
Burnout Paradise,Corrida,Criterion Games,Electronic Arts,22 de janeiro de 2008,25 de janeiro de 2008,21 de fevereiro de 2008,7 de fevereiro de 2008
Burnout Revenge,Corrida,Criterion Games,Electronic Arts,7 de março de 2006,17 de março de 2006,23 de março de 2006,Não lançado
Cabela's Adventure Camp,Caça/Pesca,Cauldron,Activision,1 de novembro de 2011,1 de novembro de 2011,Não lançado,Não lançado
Cabela's African Adventures,Caça/Pesca,Fun Labs,Activision,15 de outubro de 2013,15 de outubro de 2013,Não lançado,Não lançado
Cabela's African Safari,Caça/Pesca,Fun Labs,Activision,21 de novembro de 2006,4 de maio de 2007,Não lançado,Não lançado
Cabela's Alaskan Adventures,Caça/Pesca,Fun Labs,Activision,19 de setembro de 2006,16 de novembro de 2006,Não lançado,Não lançado
Cabela's Big Game Hunter,Caça/Pesca,Fun Labs,Activision,6 de novembro de 2007,5 de março de 2008,Não lançado,Não lançado
Cabela's Big Game Hunter 2010,Caça/Pesca,Cauldron,Activision,22 de setembro de 2009,22 de setembro de 2009,Não lançado,Não lançado
Cabela's Big Game Hunter 2012,Caça/Pesca,Cauldron,Activision,27 de setembro de 2011,27 de setembro de 2011,Não lançado,Não lançado
Cabela's Big Game Hunter Pro Hunts,Caça/Pesca,Cauldron,Activision,25 de março de 2014,25 de março de 2014,Não lançado,Não lançado
Cabela's Big Game Hunter: Hunting Party,Caça/Pesca,Activision,Activision,1 de novembro de 2011,1 de novembro de 2011,Não lançado,Não lançado
Cabela's Dangerous Hunts 2009,Caça/Pesca,Fun Labs,Activision,23 de setembro de 2008,20 de novembro de 2008,Não lançado,Não lançado
Cabela's Dangerous Hunts 2011,Caça/Pesca,Cauldron,Activision,26 de outubro de 2010,6 de maio de 2011,Não lançado,Não lançado
Cabela's Dangerous Hunts 2013,Caça/Pesca,Cauldron,Activision,23 de outubro de 2012,23 de outubro de 2012,Não lançado,Não lançado
Cabela's Hunting Expeditions,Caça/Pesca,Fun Labs,Activision,23 de outubro de 2012,23 de outubro de 2012,Não lançado,Não lançado
Cabela's North American Adventures,Caça/Pesca,Fun Labs,Activision,14 de setembro de 2010,14 de setembro de 2010,Não lançado,Não lançado
Cabela's Outdoor Adventures,Caça/Pesca,Activision,Activision,9 de setembro de 2009,9 de setembro de 2009,Não lançado,Não lançado
Cabela's Survival: Shadows of Katmai,Caça/Pesca,Fun Labs,Activision,1 de maio de 2012,1 de maio de 2012,Não lançado,Não lançado
Cabela's Trophy Bucks,Caça/Pesca,Fun Labs,Activision,25 de setembro de 2007,25 de setembro de 2007,Não lançado,Não lançado
Call of Duty: Classic,Clássico,Infinity Ward,Activision,2 de dezembro de 2009,-,-,-
Call of Duty 2[nota 7],Tiro em primeira pessoa,Infinity Ward,Activision,22 de novembro de 2005[1],2 de dezembro de 2005,15 de junho de 2006,Não lançado
Call of Duty 3,Tiro em primeira pessoa,Treyarch,Activision,7 de novembro de 2006,10 de novembro de 2006,29 de março de 2007,22 de novembro de 2013
Call of Duty 4: Modern Warfare,Tiro em primeira pessoa,Infinity Ward,Activision,5 de novembro de 2007,9 de novembro de 2007,27 de dezembro de 2007,22 de novembro de 2013
Call of Duty: Advanced Warfare,Tiro em primeira pessoa,"Sledgehammer Games, High Moon Studios",Activision,4 de novembro de 2014,4 de novembro de 2014,4 de novembro de 2014,22 de novembro de 2013
Call of Duty: Black Ops,Tiro em primeira pessoa,Treyarch,Activision,10 de novembro de 2010,10 de novembro de 2010,18 de novembro de 2010,22 de novembro de 2013
Call of Duty: Black Ops II,Tiro em primeira pessoa,Treyarch,Activision,13 de novembro de 2012,13 de novembro de 2012,13 de novembro de 2012,22 de novembro de 2013
Call of Duty: Black Ops III,Tiro em primeira pessoa,"Treyarch, Beenox",Activision,6 de novembro de 2015,6 de novembro de 2015,6 de novembro de 2015,22 de novembro de 2013
Call of Duty: Ghosts,Tiro em primeira pessoa,Infinity Ward,"Activision, Square EnixJP",5 de novembro de 2013,5 de novembro de 2013,14 de novembro de 2013,22 de novembro de 2013
Call of Duty: Modern Warfare 2,Tiro em primeira pessoa,Infinity Ward,Activision,10 de novembro de 2009,10 de novembro de 2009,Não lançado,22 de novembro de 2013
Call of Duty: Modern Warfare 3,Tiro em primeira pessoa,"Infinity Ward, Sledgehammer Games",Activision,8 de novembro de 2011,8 de novembro de 2011,Não lançado,22 de novembro de 2013
Call of Duty: World at War,Tiro em primeira pessoa,Treyarch,Activision,11 de novembro de 2008,14 de novembro de 2008,Não lançado,22 de novembro de 2013
Call of Juarez,Tiro em primeira pessoa,Techland,Ubisoft,5 de junho de 2007,29 de junho de 2007,28 de fevereiro de 2008,22 de novembro de 2013
Call of Juarez: Bound in Blood,Tiro em primeira pessoa,Techland,Ubisoft,30 de junho de 2009,3 de julho de 2009,23 de julho de 2009,22 de novembro de 2013
Call of Juarez: Gunslinger,Tiro,Techland,Ubisoft,22 de maio de 2013,-,-,-
Call of Juarez: The Cartel,Tiro em primeira pessoa,Techland,Ubisoft,19 de julho de 2011,22 de julho de 2011,Não lançado,22 de novembro de 2013
"Capcom Arcade Cabinet (Includes 1943, Avengers e Black Tiger), (1942, 1943 Kai, Commando, Exed Exes, Ghosts 'n Goblins, Gun.Smoke, Hyper Dyne Side Arms, Legendary Wings, Pirate Ship Higemaru, Section Z, SonSon, The Speed Rumbler, Trojan, Vulgus como DLC)",Clássico,"Capcom, M2",Capcom,20 de fevereiro de 2013,-,-,-
Capcom Digital Collection[nota 8],Compilação,Capcom,Capcom,27 de março de 2012,27 de março de 2012,Não lançado,22 de novembro de 2013
Capsized,Ação & Aventura,Alientrap,Namco Bandai Games,5 de julho de 2013,-,-,-
Captain America: Super Soldier,Ação,Next Level Games,Sega,19 de julho de 2011,15 de julho de 2011,Não lançado,22 de novembro de 2013
Carcassonne,Cartas,Sierra Entertainment,Microsoft Studios,27 de junho de 2007,-,-,-
"Carnival Games: Monkey See, Monkey Do",-,Cat Daddy Games,2K Play,5 de abril de 2011,8 de abril de 2011,8 de abril de 2011,TBA
Carrier Command: Gaea Mission,"Estratégia em tempo real, Ação",Bohemia Interactive Studio,"Bohemia Interactive Studio, Mastertronic, Rising Star Games",28 de setembro de 2012,28 de setembro de 2012,Não lançado,22 de novembro de 2013
Cars,"Corrida, Aventura",Rainbow Studios,THQ,23 de outubro de 2006,17 de novembro de 2006,Não lançado,22 de novembro de 2013
Cars 2,"Corrida, Aventura",Avalanche Software,Disney Interactive Studios,21 de junho de 2011,22 de julho de 2011,Não lançado,22 de novembro de 2013
Cars 3: Driven to Win,"Corrida, Aventura",Avalanche Software,Warner Bros. Interactive Entertainment,13 de junho de 2017,14 de junho de 2017,Não lançado,22 de novembro de 2013
Cars Mater-National Championship,Corrida,Rainbow Studios,THQ,29 de outubro de 2007,16 de novembro de 2007,Não lançado,22 de novembro de 2013
Cars Race-O-Rama,Corrida,Rainbow Studios,THQ,13 de outubro de 2009,30 de outubro de 2009,Não lançado,22 de novembro de 2013
Cartoon Network: Punch Time Explosion,Luta,Papaya Studio,"Crave Entertainment EUA, Deep Silver UK",15 de novembro de 2011,18 de maio de 2012,Não lançado,22 de novembro de 2013
Castle Crashers,RPG da ação,The Behemoth,Microsoft Studios,27 de agosto de 2008,-,-,-
Castle of Illusion Starring Mickey Mouse,Ação & Aventura,Sega Studios Australia,Sega,4 de setembro de 2013,-,-,-
CastleStorm,Estratégia & Simulação,Zen Studios,Microsoft Studios,29 de maio de 2013,-,-,-
Castlevania: Harmony of Despair,Ação & Aventura,Konami,Konami,4 de agosto de 2010,-,-,-
Castlevania: Lords of Shadow,"Ação & Aventura, Plataforma","MercurySteam, Kojima Productions",Konami,5 de outubro de 2010,7 de outubro de 2010,16 de dezembro de 2010,22 de novembro de 2013
Castlevania:Lords of Shadow – Mirror of Fate HD,Ação & Aventura,MercurySteam,Konami,25 de outubro de 2013,-,-,-
Castlevania: Lords of Shadow 2,"Ação & Aventura, Plataforma","MercurySteam, Kojima Productions",Konami,25 de fevereiro de 2014,28 de fevereiro de 2014,4 de setembro de 2014,22 de novembro de 2013
Castlevania: Lords of Shadow Collection,"Ação & Aventura, Plataforma","MercurySteam, Kojima Productions",Konami,5 de novembro de 2013,5 de novembro de 2013,5 de novembro de 2013,5 de novembro de 2013
Castlevania: Symphony of the Night,Clássico,Konami/Digital Eclipse,Konami,21 de março de 2007,-,-,-
Catan,Cartas,Big Huge Games,Microsoft Studios,2 de maio de 2007,-,-,-
Catherine,"Plataforma, Survival Horror, Adulto",Atlus Persona Team,Atlus,26 de julho de 2011,10 de fevereiro de 2012,17 de fevereiro de 2011,22 de novembro de 2013
"Cave, TheThe Cave",Ação & Aventura,Double Fine,Sega,23 de janeiro de 2013,-,-,-
CellFactor: Psychokinetic Wars,Tiro,Immersion Games/Timeline Interactive,Ubisoft,3 de junho de 2009,-,-,-
Centipede & Millipede,Clássico,Stainless Games/Atari,Atari,2 de maio de 2007,-,-,-
Champion Jockey: G1 Jockey & Gallop Racer,-,Koei,Tecmo Koei,Não lançado,2 de setembro de 2011,22 de setembro de 2011,22 de setembro de 2011
Championship Manager 2007,"Esportes, Gestão desportiva",Beautiful Game Studios,Eidos Interactive,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Chaos;Head Love Chu Chu!,"Romance visual, Comédia romântica",5pb.,5pb.,Não lançado,Não lançado,25 de março de 2010,Não lançado
Chaos;Head Noah,Romance visual,5pb.,5pb.,Não lançado,Não lançado,26 de fevereiro de 2009,Não lançado
Chaotic: Shadow Warriors,Ação,Activision,Activision,10 de novembro de 2009,10 de novembro de 2009,Não lançado,22 de novembro de 2013
Charlie Murder,Luta,Ska Studios,Microsoft Studios,14 de agosto de 2013,-,-,-
Chessmaster Live,Cartas,Ubisoft,Ubisoft,30 de janeiro de 2008,-,-,-
Child of Eden,"Shoot 'em up, Música",Q Entertainment,Ubisoft,14 de junho de 2011,17 de junho de 2011,6 de outubro de 2011,22 de novembro de 2013
Child of Light,RPG da ação,Ubisoft Montreal,Ubisoft,30 de abril de 2014,-,-,-
Chime,Puzzle & Trivia,Zoë Mode,Valcon Games,3 de fevereiro de 2010,-,-,-
Chivalry: Medieval Warfare,Luta,Torn Banner Studios,Activision,3 de dezembro de 2014,-,-,-
Choplifter HD,Ação & Aventura,InXile Entertainment,Konami,11 de janeiro de 2012,-,-,-
Chromehounds,Combate veicular,From Software,Sega,11 de julho de 2006,7 de julho de 2006,29 de junho de 2006,22 de novembro de 2013
Civilization Revolution,Estratégia por turnos,Firaxis Games,2K Games,8 de julho de 2008,13 de junho de 2008,11 de dezembro de 2008,22 de novembro de 2013
Clannad,Romance visual,Key,Prototype,Não lançado,Não lançado,26 de agosto de 2008,Não lançado
Clash of the Titans,Ação & Aventura,Namco Bandai Games,Namco Bandai Games,27 de julho de 2010,28 de maio de 2010,17 de junho de 2010,22 de novembro de 2013
Clive Barker's Jericho,"Tiro em primeira pessoa, Survival Horror",Codemasters,Codemasters,23 de outubro de 2007,26 de outubro de 2007,Não lançado,22 de novembro de 2013
Cloning Clyde,Plataforma,NinjaBee,Microsoft Studios,19 de julho de 2006,-,-,-
Cloudberry Kingdom,Plataforma,Pwnee Studios,Ubisoft,31 de julho de 2013,-,-,-
Cloudy with a Chance of Meatballs,Plataforma,Ubisoft Shanghai,Ubisoft,18 de setembro de 2009,11 de setembro de 2009,Não lançado,22 de novembro de 2013
Cobalt,Puzzle & Trivia,Oxeye Game Studio,Microsoft Studios,2 de fevereiro de 2016,-,-,-
code 18,Romance visual,CyberFront,CyberFront,Não lançado,Não lançado,29 de setembro de 2011,Não lançado
Coffeetime Crosswords,Puzzle & Trivia,"Voltex, Inc.",Konami,16 de julho de 2008,-,-,-
Colin McRae: DiRT 2,Corrida,Codemasters,Codemasters,8 de setembro de 2009,10 de setembro de 2009,Não lançado,22 de novembro de 2013
Colin McRae: DiRT,Corrida,Codemasters,Codemasters,19 de junho de 2007,15 de junho de 2007,Não lançado,22 de novembro de 2013
College Hoops 2K6,Esportes,Visual Concepts,2K Sports,7 de março de 2006,7 de março de 2006,Não lançado,22 de novembro de 2013
College Hoops 2K7,Esportes,Visual Concepts,2K Sports,20 de novembro de 2006,20 de novembro de 2006,Não lançado,22 de novembro de 2013
College Hoops 2K8,Esportes,Visual Concepts,2K Sports,19 de novembro de 2007,19 de novembro de 2007,Não lançado,22 de novembro de 2013
Comic Jumper:The Adventures of Captain Smiley,Plataforma,Twisted Pixel Games,Microsoft Studios,6 de outubro de 2010,-,-,-
Comix Zone,Clássico,Backbone Entertainment,Sega,10 de junho de 2009,-,-,-
Command & Conquer 3: Kane's Wrath,RTS,DICE Los Angeles,Electronic Arts,23 de junho de 2008,27 de junho de 2008,Não lançado,22 de novembro de 2013
Command & Conquer 3: Tiberium Wars,RTS,DICE Los Angeles,Electronic Arts,8 de maio de 2007,11 de maio de 2007,Não lançado,22 de novembro de 2013
Command & Conquer: Red Alert 3,RTS,DICE Los Angeles,Electronic Arts,11 de novembro de 2008,14 de novembro de 2008,Não lançado,22 de novembro de 2013
Command & Conquer: Red Alert 3 – Commander's Challenge,Estratégia & Simulação,DICE Los Angeles,Electronic Arts,16 de setembro de 2009,-,-,-
Commanders: Attack of the Genos,Plataforma,Southend Interactive,Activision,13 de fevereiro de 2008,-,-,-
Conan,"Ação & Aventura, Plataforma",Nihilistic Software,THQ,23 de outubro de 2007,28 de setembro de 2007,6 de dezembro de 2007,22 de novembro de 2013
Condemned 2: Bloodshot,Survival Horror,Monolith Productions,Sega,11 de março de 2008,4 de abril de 2008,Não lançado,22 de novembro de 2013
Condemned: Criminal Origins[nota 9],Survival horror,Monolith Productions,Sega,22 de novembro de 2005[1],2 de dezembro de 2005,31 de agosto de 2006,Não lançado
Conflict: Denied Ops,Tiro tático,Pivotal Games,Eidos Interactive,12 de fevereiro de 2008,8 de fevereiro de 2008,Não lançado,22 de novembro de 2013
